3d模型描述	场景描述
教学用的讲台 (doc, -doct - 教) - 一座用于传授知识的讲台。	"""创建一个智慧图书馆的隐秘大厅场景草图，设定在一座古老而庄严的石砌图书馆内，周围环绕高耸书架与昏黄烛光。场景中包含25个独特的3D物体，每个物体象征一个与思想相关的概念。包括一座教学用的讲台、一支刻写文字的羽毛笔、一对相似形状的书架、一卷法则书、一块设计精美的石牌、一堆堆叠的词语卡片、一台计算用的算盘、一组分类标签的书箱、一块现实景象的镜子、一幅墙上的图形壁画、一本历史记录卷轴、一座十字形书架、一根点燃原因的火炬、一尊智慧雕像、一块沉入水中的书页、一堆数量标记的石子、一块展示特征的彩石、一团神秘雾气、一对相同图案的烛台、一本语言字典、一座判断天平、一卷记忆卷轴、一块确实无误的印章、一台认知用的望远镜、一盏仔细检查的提灯。物体和谐融入场景：中央是智慧大厅，周围环绕思想元素，思想行为如写、判断、记忆自然呈现。使用深棕、金黄和幽蓝的书香色调，搭配烛光摇曳和书页翻动效果，在静谧夜晚呈现。""

"
刻写文字的羽毛笔 (script, scrib, scrip - 写，刻写) - 一支刻写文字的羽毛笔。	
相似形状的书架 (sim, sem, simil, simul, sembl - 相似) - 一对形状相似的书架。	
法则书 (discip - 法则) - 一卷记录法则的书。	
设计精美的石牌 (sign - 设计) - 一块雕刻精美的石牌。	
堆叠的词语卡片 (verb - 字，词) - 一堆写满词语的卡片。	
计算用的算盘 (rat, ratio - 计算，推定，理由) - 一台用于计算的算盘。	
分类标签的书箱 (class - 分类，等级) - 一组贴有分类标签的书箱。	
现实景象的镜子 (real - 现实) - 一面映出现实的镜子。	
图形壁画 (graph, gram - 写，画，文字，图形) - 一幅墙上的图形壁画。	
历史记录卷轴 (histor - 叙事，历史) - 一卷记录历史的卷轴。	
十字形书架 (cruc, cruis, crus, crux - 十字) - 一座十字形状的书架。	
点燃原因的火炬 (caus - 导致，原因) - 一根点燃象征原因的火炬。	
智慧雕像 (soph - 智慧) - 一尊象征智慧的雕像。	
沉入水中的书页 (merg, mers - 沉，没) - 一页沉入水中的书纸。	
数量标记的石子堆 (quant - 量，数量) - 一堆标有数量的石子。	
展示特征的彩石 (qual - 性质，特征) - 一块展示特征的彩色石头。	
神秘雾气 (myst, myth - 神秘) - 一团环绕书架的神秘雾气。	
相同图案的烛台 (ident - 相同) - 一对图案相同的烛台。	
语言字典 (lingu - 语言) - 一本厚重的语言字典。	
判断天平 (crit, cris - 判断) - 一座用于判断的天平。	
记忆卷轴 (memor, ment, mind - 记忆) - 一卷记录记忆的卷轴。	
确实无误的印章 (cert - 确实) - 一块盖有确认印章的石板。	
认知用的望远镜 (quaint - 认知) - 一台用于认知观察的望远镜。	
仔细检查的提灯(caut - 仔细 )	-仔细检查的提灯
绘制的油画 (pict, paint - 画，图片，照片) - 一幅色彩丰富的油画。	"""创建一个文艺复兴大师的工作坊场景草图，设定在一间充满艺术气息的石砌工作室，周围环绕画架、雕塑与乐器。场景中包含25个独特的3D物体，每个物体象征一个与艺术相关的概念。包括一幅绘制的油画、一块沾染颜料的脏布、一张白色画布、一面模仿大师的画像、一支画图的炭笔、一根木制画框横条、一台技术精湛的织布机、一把弹奏的鲁特琴、一卷手写文字卷轴、一支抽取颜料的吸管、一座百花装饰的雕像、一对跳舞人偶、一颗抛起的舞会彩球、一尊关节灵活的木人模型、一面赞美艺术的旗帜、一块耕耘图案的陶板、一座掌控全局的指挥台、一幕戏剧布景、一把切割木头的锯子、一尊雕刻中的大理石像、一张笑脸面具、一根钉住画布的钉子、一列跟随大师的画笔、一瓶溶解颜料的溶液、一盏关注细节的烛灯。物体和谐融入场景：中央是工作台，周围环绕艺术元素，艺术行为如画、雕刻、跳舞自然呈现。使用深红、淡黄和木棕的复古色调，搭配烛光摇曳和颜料气息，在温暖午后呈现。""

"
沾染颜料的脏布 (pollut - 脏) - 一块沾满颜料的脏布。	
白色画布 (album - 白色) - 一张纯白的画布。	
模仿大师的画像 (imag, imit - 图像) - 一面模仿名画的画像。	
画图的炭笔 (draw - 画) - 一支用于素描的炭笔。	
木制画框横条 (bar, bal, ban - 长木条，障碍) - 一根木制画框的横条。	
技术精湛的织布机 (techn - 技术，艺术) - 一台展示技艺的织布机。	
弹奏的鲁特琴 (mus - 音乐，娱乐) - 一把正在弹奏的鲁特琴。	
手写文字卷轴 (liter - 文字) - 一卷手写的文字卷轴。	
抽取颜料的吸管 (haust - 抽出) - 一支抽取颜料的吸管。	
百花装饰的雕像 (cent - 百) - 一座装饰百花的雕像。	
跳舞人偶 (orches - 跳舞) - 一对跳舞的木制人偶。	
抛起的舞会彩球 (ball, balo, bol - 抛，舞，球) - 一颗抛起的彩色舞会球。	
关节灵活的木人模型 (art, arthr - 艺术，关节) - 一尊关节可动的木人模型。	
赞美艺术的旗帜 (celebr - 赞美，名望) - 一面赞颂艺术的旗帜。	
耕耘图案的陶板 (cult - 耕作) - 一块刻有耕作图案的陶板。	
掌控全局的指挥台 (magist, master - 掌控) - 一座掌控工作坊的指挥台。	
戏剧布景 (drama - 戏剧) - 一幕戏剧表演的布景。	
切割木头的锯子 (sect, sec, seg - 切) - 一把切割木材的锯子。	
雕刻中的大理石像 (sculpt - 雕刻) - 一尊正在雕刻的大理石像。	
笑脸面具 (rid, ris - 笑) - 一张雕刻笑脸的面具。	
钉住画布的钉子 (tach, tack - 钉，扣件) - 一根固定画布的钉子。	
跟随大师的画笔 (sec, sequ, secut, su - 跟随) - 一列跟随大师风格的画笔。	
溶解颜料的溶液 (lys, lyt - 分，解，溶，散) - 一瓶溶解颜料的溶液。	
关注细节的烛灯 (cur - 关心，挂念，注意) - 一盏用于关注细节的烛灯。	
种植的小树苗 (plant - 种植) - 一株刚种下的小树苗。	"创建一个自然之心的元素圣殿场景草图，设定在一片原始而神秘的自然奇观中，中央是一座由藤蔓与岩石交织的圣殿，周围环绕流水、星空与冰霜。场景中包含25个独特的3D物体，每个物体象征一个与自然相关的概念。包括一株种植的小树苗、一盆绽放的植物、一片覆盖岩石的苔藓、一颗新生种子、一根生长中的藤蔓、一棵养育幼苗的大树、一片开阔的田野、一块粗野的原始石块、一条流动的瀑布、一株充满活力的花朵、一池液体水潭、一道闪烁的电光、一轮孤立的太阳雕像、一座宇宙星盘、一颗悬浮的星星水晶、一根旋转的风向标、一块碳化树皮、一团尖锐氧气雾气、一瓶化学试剂、一圈环形藤蔓、一块冰冻的霜石、一只生命之蝶、一只奔跑的动物雕像、一块自然物理石碑、一个深邃的岩洞。物体和谐融入场景：中央是元素圣殿，周围环绕自然元素，自然现象如生长、流动、冰冻自然呈现。使用翠绿、深蓝和银白的自然色调，搭配星光闪烁和流水潺潺效果，在星夜与晨曦交替时呈现。"
绽放的植物 (bot - 种植，植物) - 一盆盛开的植物。	
覆盖岩石的苔藓 (cover - 覆盖，掩盖) - 一片覆盖在岩石上的苔藓。	
新生种子 (gen, gn, gener, gent - 出生) - 一颗刚萌芽的种子。	
生长中的藤蔓 (cre, cresc, cret - 增长，生长，产生) - 一根向上生长的藤蔓。	
养育幼苗的大树 (alesc, alit, olesc - 养育，成长) - 一棵庇护幼苗的大树。	
开阔的田野 (camp - 田野，场所) - 一片广阔的田野。	
粗野的原始石块 (rud - 原始，粗野) - 一块未经雕琢的原始石头。	
流动的瀑布 (flu, flux - 流) - 一条奔流的瀑布。	
充满活力的花朵 (viv, vit, veg - 活) - 一株充满生命力的花朵。	
液体水潭 (liqu - 液体) - 一池清澈的液体水潭。	
闪烁的电光 (electr - 电) - 一道跳跃的电光。	
孤立的太阳雕像 (sol - 单独，太阳) - 一座孤独的太阳雕像。	
宇宙星盘 (cosm - 宇宙) - 一座展示宇宙的星盘。	
悬浮的星星水晶 (aster, astr - 星星) - 一颗漂浮的星形水晶。	
旋转的风向标 (trop - 转) - 一根旋转的风向标。	
碳化树皮 (carb - 碳) - 一块含有碳元素的树皮。	
尖锐氧气雾气 (oxy, oxia, oxic - 尖锐，敏锐，氧) - 一团象征氧气的雾气。	
化学试剂瓶 (chem - 化学) - 一瓶冒泡的化学试剂。	
环形藤蔓圈 (viron - 环路) - 一圈环绕的藤蔓。	
冰冻的霜石 (freeze, frig, friger - 冷，冰冻) - 一块覆盖冰霜的石头。	
生命之蝶 (bi - 生命) - 一只翩翩起舞的蝴蝶。	
奔跑的动物雕像 (zo - 动物) - 一尊奔跑的动物雕像。	
自然物理石碑 (phys - 自然，物理) - 一块刻有自然规律的石碑。	
深邃的岩洞 (cav - 洞，空) - 一个深邃的岩石洞穴。	
