词根变体	词根含义	词根分类	3d模型描述
liter	文字	艺术	手写文字卷轴 (liter - 文字) - 一卷手写的文字卷轴。
haust	抽出	艺术	抽取颜料的吸管 (haust - 抽出) - 一支抽取颜料的吸管。
cent	百	艺术	百花装饰的雕像 (cent - 百) - 一座装饰百花的雕像。
orches	跳舞	艺术	跳舞人偶 (orches - 跳舞) - 一对跳舞的木制人偶。
ball, balo, bol	抛,舞,球	艺术	抛起的舞会彩球 (ball, balo, bol - 抛，舞，球) - 一颗抛起的彩色舞会球。
art, arthr	艺术，关节	艺术	关节灵活的木人模型 (art, arthr - 艺术，关节) - 一尊关节可动的木人模型。
celebr	赞美，名望	艺术	赞美艺术的旗帜 (celebr - 赞美，名望) - 一面赞颂艺术的旗帜。
cult	耕作	艺术	耕耘图案的陶板 (cult - 耕作) - 一块刻有耕作图案的陶板。
magist, master	掌控	艺术	掌控全局的指挥台 (magist, master - 掌控) - 一座掌控工作坊的指挥台。
drama	戏剧	艺术	戏剧布景 (drama - 戏剧) - 一幕戏剧表演的布景。
sect, sec, seg	切	艺术	切割木头的锯子 (sect, sec, seg - 切) - 一把切割木材的锯子。
sculpt	雕刻	艺术	雕刻中的大理石像 (sculpt - 雕刻) - 一尊正在雕刻的大理石像。
rid, ris	笑	艺术	笑脸面具 (rid, ris - 笑) - 一张雕刻笑脸的面具。
tach, tack	钉，扣件	艺术	钉住画布的钉子 (tach, tack - 钉，扣件) - 一根固定画布的钉子。
sec, sequ, secut, su	跟随	艺术	跟随大师的画笔 (sec, sequ, secut, su - 跟随) - 一列跟随大师风格的画笔。
lys, lyt	分，解，溶，散	艺术	溶解颜料的溶液 (lys, lyt - 分，解，溶，散) - 一瓶溶解颜料的溶液。
cur	关心，挂念，注意	艺术	关注细节的烛灯 (cur - 关心，挂念，注意) - 一盏用于关注细节的烛灯。
plant	种植	自然	种植的小树苗 (plant - 种植) - 一株刚种下的小树苗。
bot	种植，植物	自然	绽放的植物 (bot - 种植，植物) - 一盆盛开的植物。
cover	覆盖，掩盖	自然	覆盖岩石的苔藓 (cover - 覆盖，掩盖) - 一片覆盖在岩石上的苔藓。
gen, gn, gener, gent	出生	自然	新生种子 (gen, gn, gener, gent - 出生) - 一颗刚萌芽的种子。
cre, cresc, cret	增长，生长，产生	自然	生长中的藤蔓 (cre, cresc, cret - 增长，生长，产生) - 一根向上生长的藤蔓。
alesc, alit, olesc	养育，成长	自然	养育幼苗的大树 (alesc, alit, olesc - 养育，成长) - 一棵庇护幼苗的大树。
camp	田野，场所	自然	开阔的田野 (camp - 田野，场所) - 一片广阔的田野。
rud	原始，粗野	自然	粗野的原始石块 (rud - 原始，粗野) - 一块未经雕琢的原始石头。
flu, flux	流	自然	流动的瀑布 (flu, flux - 流) - 一条奔流的瀑布。
viv, vit, veg	活	自然	充满活力的花朵 (viv, vit, veg - 活) - 一株充满生命力的花朵。
liqu	液体	自然	液体水潭 (liqu - 液体) - 一池清澈的液体水潭。
electr	电	自然	闪烁的电光 (electr - 电) - 一道跳跃的电光。
sol	单独，太阳	自然	孤立的太阳雕像 (sol - 单独，太阳) - 一座孤独的太阳雕像。
cosm	宇宙	自然	宇宙星盘 (cosm - 宇宙) - 一座展示宇宙的星盘。
aster, astr	星星	自然	悬浮的星星水晶 (aster, astr - 星星) - 一颗漂浮的星形水晶。
trop	转	自然	旋转的风向标 (trop - 转) - 一根旋转的风向标。
carb	碳	自然	碳化树皮 (carb - 碳) - 一块含有碳元素的树皮。
oxy, oxia, oxic	尖锐，敏锐，氧	自然	尖锐氧气雾气 (oxy, oxia, oxic - 尖锐，敏锐，氧) - 一团象征氧气的雾气。
chem	化学	自然	化学试剂瓶 (chem - 化学) - 一瓶冒泡的化学试剂。
viron	环路	自然	环形藤蔓圈 (viron - 环路) - 一圈环绕的藤蔓。
freeze, frig, friger	冷，冰冻	自然	冰冻的霜石 (freeze, frig, friger - 冷，冰冻) - 一块覆盖冰霜的石头。
bi	生命	自然	生命之蝶 (bi - 生命) - 一只翩翩起舞的蝴蝶。
zo	动物	自然	奔跑的动物雕像 (zo - 动物) - 一尊奔跑的动物雕像。
phys	自然，物理	自然	自然物理石碑 (phys - 自然，物理) - 一块刻有自然规律的石碑。
cav	洞，空	自然	深邃的岩洞 (cav - 洞，空) - 一个深邃的岩石洞穴。
